time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-15 00:00:00+00:00,1,1,0,0
2025-08-16 00:00:00+00:00,2,2,0,0
2025-08-20 00:00:00+00:00,1,1,0,0
2025-08-21 00:00:00+00:00,1,1,18,1
2025-08-22 00:00:00+00:00,1,1,0,0
2025-08-25 00:00:00+00:00,0,0,1,1
2025-08-26 00:00:00+00:00,0,0,1,1
2025-08-27 00:00:00+00:00,1,1,31,2
2025-08-28 00:00:00+00:00,16,13,48,4
2025-08-29 00:00:00+00:00,7,6,9,3
2025-08-30 00:00:00+00:00,2,2,4,1
2025-08-31 00:00:00+00:00,4,4,0,0
2025-09-01 00:00:00+00:00,3,3,0,0
2025-09-02 00:00:00+00:00,3,3,1,1
2025-09-03 00:00:00+00:00,1,1,0,0
2025-09-04 00:00:00+00:00,1,1,18,1
2025-09-05 00:00:00+00:00,6,5,1,1
2025-09-06 00:00:00+00:00,3,3,0,0
2025-09-07 00:00:00+00:00,5,5,0,0
2025-09-08 00:00:00+00:00,1,1,3,2
2025-09-09 00:00:00+00:00,7,6,12,2
2025-09-10 00:00:00+00:00,5,5,1,1
2025-09-11 00:00:00+00:00,3,3,0,0
2025-09-12 00:00:00+00:00,5,4,1,1
2025-09-13 00:00:00+00:00,3,3,0,0
2025-09-14 00:00:00+00:00,3,3,0,0
2025-09-15 00:00:00+00:00,3,3,0,0
2025-09-16 00:00:00+00:00,13,7,2,1
2025-09-17 00:00:00+00:00,7,5,0,0
2025-09-18 00:00:00+00:00,7,7,0,0
2025-09-19 00:00:00+00:00,7,6,3,1
2025-09-20 00:00:00+00:00,5,5,0,0
2025-09-21 00:00:00+00:00,5,5,0,0
2025-09-22 00:00:00+00:00,4,4,0,0
2025-09-23 00:00:00+00:00,5,5,0,0
2025-09-25 00:00:00+00:00,6,6,0,0
2025-09-26 00:00:00+00:00,3,2,0,0
2025-09-27 00:00:00+00:00,2,2,0,0
2025-09-28 00:00:00+00:00,2,2,0,0
2025-09-29 00:00:00+00:00,5,5,0,0
2025-09-30 00:00:00+00:00,9,4,1,1
2025-10-01 00:00:00+00:00,4,3,0,0
2025-10-02 00:00:00+00:00,1,1,0,0
2025-10-03 00:00:00+00:00,7,5,0,0
2025-10-04 00:00:00+00:00,3,3,2,1
2025-10-05 00:00:00+00:00,5,5,0,0
2025-10-06 00:00:00+00:00,1,1,0,0
2025-10-07 00:00:00+00:00,3,3,0,0
2025-10-08 00:00:00+00:00,2,2,0,0
2025-10-09 00:00:00+00:00,3,3,0,0
2025-10-10 00:00:00+00:00,3,2,0,0
2025-10-11 00:00:00+00:00,3,3,0,0
2025-10-12 00:00:00+00:00,4,4,0,0
2025-10-13 00:00:00+00:00,9,3,1,1
2025-10-14 00:00:00+00:00,15,5,6,2
2025-10-15 00:00:00+00:00,4,3,0,0
2025-10-16 00:00:00+00:00,6,5,1,1
2025-10-17 00:00:00+00:00,15,4,0,0
2025-10-18 00:00:00+00:00,7,2,0,0
2025-10-19 00:00:00+00:00,9,4,0,0
2025-10-20 00:00:00+00:00,7,2,0,0
2025-10-21 00:00:00+00:00,16,6,1,1
2025-10-22 00:00:00+00:00,22,7,0,0
2025-10-23 00:00:00+00:00,13,3,0,0
2025-10-24 00:00:00+00:00,4,3,6,1
2025-10-25 00:00:00+00:00,24,9,0,0
2025-10-26 00:00:00+00:00,11,6,0,0
2025-10-27 00:00:00+00:00,13,8,1,1
2025-10-28 00:00:00+00:00,2,2,1,1
2025-10-29 00:00:00+00:00,3,3,2,2
2025-10-30 00:00:00+00:00,4,4,0,0
2025-10-31 00:00:00+00:00,7,2,0,0
2025-11-01 00:00:00+00:00,7,2,1,1
2025-11-02 00:00:00+00:00,5,4,0,0
2025-11-03 00:00:00+00:00,8,2,0,0
2025-11-04 00:00:00+00:00,10,3,0,0
2025-11-05 00:00:00+00:00,9,7,0,0
2025-11-06 00:00:00+00:00,11,5,4,1
2025-11-07 00:00:00+00:00,22,6,0,0
2025-11-08 00:00:00+00:00,11,6,0,0
2025-11-09 00:00:00+00:00,4,3,0,0
2025-11-10 00:00:00+00:00,7,4,0,0
2025-11-11 00:00:00+00:00,1,1,0,0
